Network Code,Station Code,Name,Latitude,Longitude,Elevation
II,PFO,"Pinon Flat, California, USA",33.611,-116.456,1280
II,RAYN,"Ar Rayn, Saudi Arabia",23.523,45.503,631
II,RPN,"Rapanui, Easter Island, Chile",-27.127,-109.334,110
II,SACV,"Santiago Island, Cape Verde",14.97,-23.608,387
II,SHEL,"Horse Pasture, St. Helena Island",-15.959,-5.746,537
II,SUR,"Sutherland, South Africa",-32.38,20.812,1770
II,TAU,"Hobart, Tasmania, Australia",-42.91,147.32,132
II,TLY,"Talaya, Russia",51.681,103.644,579
II,WRAB,"Tennant Creek, NT, Australia",-19.934,134.36,366
IU,ADK,"Adak, Aleutian Islands, Alaska",51.882,-176.684,130
IU,AFI,"Afiamalu, Samoa",-13.909,-171.783,706
IU,ANMO,"Albuquerque, New Mexico, USA",34.946,-106.457,1816
IU,ANTO,"Ankara, Turkey",39.868,32.793,1090
IU,BBSR,"Bermuda Institute of Ocean Sciences, St George's Bermuda",32.371,-64.696,30
IU,BILL,"Bilibino, Russia",68.065,166.453,320
IU,CASY,"Casey, Antarctica",-66.279,110.535,10
IU,CCM,"Cathedral Cave, Missouri, USA",38.056,-91.245,172
IU,CHTO,"Chiang Mai, Thailand",18.814,98.944,420
IU,COLA,"College Outpost, Alaska, USA",64.874,-147.862,200
IU,COR,"Corvallis, Oregon, USA",44.586,-123.305,110
IU,CTAO,"Charters Towers, Australia",-20.088,146.25,367
IU,DAV,"Davao, Philippines",7.07,125.579,150
IU,DWPF,"Disney Wilderness Preserve, Florida, USA",28.11,-81.433,30
IU,FUNA,"Funafuti, Tuvalu",-8.526,179.197,20
IU,FURI,"Mt. Furi, Ethiopia",8.895,38.68,2570
IU,GNI,"Garni, Armenia",40.148,44.741,1609
IU,GRFO,"Grafenberg, Germany",49.691,11.22,285
IU,GUMO,"Guam, Mariana Islands",13.589,144.868,170
IU,HKT,Hockley1 Texas,29.965,-95.838,-381
IU,HNR,"Honiara, Solomon Islands",-9.439,159.947,99
IU,HRV,"Adam Dziewonski Observatory (Oak Ridge), Massachusetts, USA",42.506,-71.558,200
IU,INCN,"Inchon, Republic of Korea",37.478,126.624,55
IU,JOHN,"Johnston Island, USA",16.733,-169.529,2
IU,KBL,"Kabul, Afghanistan",34.541,69.043,1913
IU,KBS,"Ny-Alesund, Spitzbergen, Norway",78.915,11.938,90
IU,KEV,"Kevo, Finland",69.757,27.003,85
IU,KIEV,"Kiev, Ukraine",50.701,29.224,180
IU,KIP,"Kipapa, Hawaii, USA",21.42,-158.011,77
IU,KMBO,"Kilima Mbogo, Kenya",-1.127,37.252,1930
IU,KNTN,"Kanton, Kiritibati",-2.774,-171.719,20
IU,KONO,"Kongsberg, Norway",59.649,9.598,216
IU,KOWA,"Kowa, Mali",14.497,-4.014,321
IU,LCO,"Las Campanas Astronomical Observatory, Chile",-29.011,-70.701,2274
IU,LSZ,"Lusaka, Zambia",-15.278,28.188,1200
IU,LVC,"Limon Verde, Chile",-22.613,-68.911,2930
IU,MA2,"Magadan, Russia",59.576,150.77,335
IU,MACI,"Morro de la Arena, Canary Islands",28.25,-16.508,1674
IU,MAJO,"Matsushiro, Japan",36.546,138.204,405
IU,MAKZ,"Makanchi, Kazakhstan",46.808,81.977,600
IU,MBWA,"Marble Bar, Western Australia",-21.159,119.731,190
IU,MIDW,"Midway Island, USA",28.216,-177.37,20
IU,MSKU,"Masuku, Gabon",-1.656,13.612,312
IU,NWAO,"Narrogin, Australia",-32.928,117.239,380
IU,OTAV,"Otavalo, Ecuador",0.238,-78.451,3509
IU,PAB,"San Pablo, Spain",39.545,-4.35,950
IU,PAYG,"Puerto Ayora, Galapagos Islands",-0.674,-90.286,270
IU,PET,"Petropavlovsk, Russia",53.023,158.65,96
IU,PMG,"Port Moresby, New Guinea",-9.405,147.16,90
IU,PMSA,"Palmer Station, Antarctica",-64.774,-64.049,40
IU,POHA,"Pohakuloa, Hawaii, USA",19.757,-155.533,1990
IU,PTCN,"Pitcairn Island, South Pacific",-25.071,-130.095,220
IU,PTGA,"Pitinga, Brazil",-0.731,-59.967,237
IU,QSPA,South Pole Remote Earth Science Observatory (Quiet Zone),-89.929,144.438,2600
IU,RAO,"Raoul, Kermadec Islands",-29.245,-177.929,60
IU,RAR,"Rarotonga, Cook Islands",-21.212,-159.773,28
IU,RCBR,"Riachuelo, Brazil",-5.827,-35.901,400
IU,RSSD,"Black Hills, South Dakota, USA",44.121,-104.036,2090
IU,SAML,"Samuel, Brazil",-8.949,-63.183,120
IU,SBA,"Scott Base, Antarctica",-77.849,166.757,50
IU,SDV,"Santo Domingo, Venezuela",8.884,-70.634,1590
IU,SFJD,"Sondre Stromfjord, Greenland",66.996,-50.621,330
IU,SJG,"San Juan, Puerto Rico",18.109,-66.15,420
IU,SLBS,"Sierra la Laguna Baja California Sur, Mexico",23.686,-109.944,825
IU,SNZO,"South Karori, New Zealand",-41.309,174.704,120
IU,SSPA,"Standing Stone, Pennsylvania",40.636,-77.888,270
IU,TARA,"Tarawa Island, Republic of Kiribati",1.355,172.923,20
IU,TATO,"Taipei, Taiwan",24.974,121.497,160
IU,TEIG,"Tepich, Yucatan, Mexico",20.226,-88.276,10
IU,TIXI,"Tiksi, Russia",71.634,128.867,40
IU,TRIS,Tristan da Cunha,-37.068,-12.315,58
IU,TRQA,"Tornquist, Argentina",-38.057,-61.979,540
IU,TSUM,"Tsumeb, Namibia",-19.202,17.584,1260
IU,TUC,"Tucson, Arizona",32.31,-110.785,910
IU,ULN,"Ulaanbaatar, Mongolia",47.865,107.053,1610
IU,WAKE,Wake Island,19.283,166.652,20
IU,WCI,"Wyandotte Cave, Indiana, USA",38.229,-86.294,210
IU,WVT,"Waverly, Tennessee, USA",36.13,-87.83,170
IU,XMAS,"Kiritimati Island, Republic of Kiribati",2.045,-157.446,19
IU,YAK,"Yakutsk, Russia",62.031,129.68,96
IU,YSS,"Yuzhno Sakhalinsk, Russia",46.959,142.76,148
